"Issue Type","Summary","Description","Epic Name","Epic Link","Parent","Priority","Assignee","Labels","Story Points"
"Epic","KAN-1: Quy trình Jira/Git & môi trường","Chuẩn hoá workflow Jira/Git, tích hợp repo, thiết lập môi trường chạy dự án.","KAN-1: Quy trình Jira/Git & môi trường","","","Medium","","process,setup",""
"Story","KAN-2: Kết nối Jira ↔ GitHub & quy ước branch/commit/PR","Kết nối DVCS để Jira tự hiển thị branch/commit/PR. Chuẩn hoá naming có issue key.","","KAN-1: Quy trình Jira/Git & môi trường","","Medium","","jira,github",""
"Task","KAN-2.1: Tạo project/board + workflow cột","Tạo board và workflow: Todo → Dev → InProgress → Test → Done.","","KAN-1: Quy trình Jira/Git & môi trường","","Medium","","jira",""
"Task","KAN-2.2: Connect GitHub integration + verify Development panel","Connect GitHub/DVCS và xác nhận issue hiển thị 1 branch, 1 commit, 1 PR trong Development.","","KAN-1: Quy trình Jira/Git & môi trường","","Medium","","jira,github",""
"Task","KAN-2.3: Chuẩn hoá naming branch/commit/PR","Branch: feature/<ISSUEKEY>-<short>; Commit/PR title bắt đầu bằng ISSUEKEY.","","KAN-1: Quy trình Jira/Git & môi trường","","Low","","git,workflow",""
"Story","KAN-3: Thiết lập môi trường chạy dự án","Chuẩn bị MySQL schema, cấu hình application.properties, seed data và checklist chạy local.","","KAN-1: Quy trình Jira/Git & môi trường","","Medium","","setup,db",""
"Task","KAN-3.1: Tạo DB qltxm + cấu hình datasource","Tạo database qltxm; cấu hình user/pass; chạy app qua port 8081.","","KAN-1: Quy trình Jira/Git & môi trường","","Medium","","mysql,spring",""
"Task","KAN-3.2: Seed data admin/user + dữ liệu xe/khách","Seed tài khoản admin/user và dữ liệu mẫu motorbike/customer để demo luồng nghiệp vụ.","","KAN-1: Quy trình Jira/Git & môi trường","","Medium","","seed,data",""
"Task","KAN-3.3: Checklist chạy local","Hướng dẫn: mvn test, mvn spring-boot:run, tài khoản demo, đường dẫn trang chính.","","KAN-1: Quy trình Jira/Git & môi trường","","Low","","docs",""

"Epic","KAN-10: Xác thực & phân quyền","Đăng ký/đăng nhập, phân quyền USER/ADMIN, trang lỗi access denied.","KAN-10: Xác thực & phân quyền","","","High","","auth,security",""
"Story","KAN-11: Đăng ký / Đăng nhập / Phân quyền","Login/Register UI + Spring Security rules + lưu user/role.","","KAN-10: Xác thực & phân quyền","","High","","auth,security",""
"Task","KAN-11.1: UI login/register + validate form","Tạo trang login/register, hiển thị lỗi validate và thông báo thành công.","","KAN-10: Xác thực & phân quyền","","Medium","","thymeleaf,ui",""
"Task","KAN-11.2: Cấu hình Spring Security routes & access denied","Permit static + /register,/login,/tracking; restrict admin/user pages; access denied page.","","KAN-10: Xác thực & phân quyền","","High","","spring-security",""
"Task","KAN-11.3: AppUser service đăng ký + hash mật khẩu","Đăng ký user mới, kiểm tra trùng username, BCryptPasswordEncoder.","","KAN-10: Xác thực & phân quyền","","High","","backend,security",""
"Story","KAN-12: Hồ sơ người dùng","Trang profile user + cập nhật thông tin và validate.","","KAN-10: Xác thực & phân quyền","","Medium","","user,profile",""
"Task","KAN-12.1: Trang user profile","Hiển thị thông tin người dùng và form cập nhật.","","KAN-10: Xác thực & phân quyền","","Medium","","thymeleaf",""
"Task","KAN-12.2: Cập nhật profile + validation + flash message","Validate dữ liệu, lưu cập nhật, hiển thị success/error.","","KAN-10: Xác thực & phân quyền","","Medium","","backend,validation",""

"Epic","KAN-20: Quản lý Xe (Admin)","CRUD xe, trạng thái xe, dữ liệu vị trí phục vụ tracking.","KAN-20: Quản lý Xe (Admin)","","","High","","admin,motorbike",""
"Story","KAN-21: CRUD xe + trạng thái","Tạo/sửa/list xe, filter theo status, search theo keyword.","","KAN-20: Quản lý Xe (Admin)","","High","","admin,motorbike",""
"Task","KAN-21.1: Entity/Repo search + filter status","Query search theo keyword và lọc status (AVAILABLE/...).","","KAN-20: Quản lý Xe (Admin)","","Medium","","jpa,repo",""
"Task","KAN-21.2: Trang list + form create/edit xe","Thymeleaf templates cho list và form, hiển thị validation errors.","","KAN-20: Quản lý Xe (Admin)","","Medium","","thymeleaf,ui",""
"Task","KAN-21.3: Ràng buộc dữ liệu (mã xe/biển số/giá/ngày)","Bổ sung validation và xử lý lỗi hợp lệ.","","KAN-20: Quản lý Xe (Admin)","","Medium","","validation",""
"Story","KAN-22: Vị trí xe cho tracking","Lưu locationLabel/lat/lon và hiển thị phù hợp.","","KAN-20: Quản lý Xe (Admin)","","Medium","","tracking,map",""
"Task","KAN-22.1: Dữ liệu vị trí + cập nhật xe thiếu toạ độ","Seed vị trí và logic đảm bảo xe có lat/lon cho demo.","","KAN-20: Quản lý Xe (Admin)","","Low","","seed,map",""

"Epic","KAN-30: Quản lý Khách hàng (Admin)","CRUD khách hàng và tìm kiếm.","KAN-30: Quản lý Khách hàng (Admin)","","","High","","admin,customer",""
"Story","KAN-31: CRUD khách hàng + tìm kiếm","Tạo/sửa/list khách hàng, search theo keyword.","","KAN-30: Quản lý Khách hàng (Admin)","","High","","admin,customer",""
"Task","KAN-31.1: Repo search theo tên/SĐT/CCCD","Thống nhất tiêu chí search và implement query.","","KAN-30: Quản lý Khách hàng (Admin)","","Medium","","jpa,repo",""
"Task","KAN-31.2: Trang list + form create/edit khách","Thymeleaf templates cho list/form, hiển thị lỗi.","","KAN-30: Quản lý Khách hàng (Admin)","","Medium","","thymeleaf,ui",""
